Beneficiario;Zona concurrencia;X;Y;Municipio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,476681645;42,90719622;Barrundia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,675380511;42,59576644;Lagrán;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,093429391;42,87252225;Valdegovía/Gaubea;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,430128;42,79701035;Arraia-Maeztu;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,155932015;43,12968448;Artziniega;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,512157729;42,83576101;Alegría-Dulantzi;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,81583457;42,95899745;Zuia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,033994288;42,75056834;Lantarón;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,816644143;42,81414904;Iruña Oka/Iruña de Oca;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,944863106;42,8642262;Erriberagoitia/Ribera Alta;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,046753609;43,07776872;Ayala/Aiara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,793001966;42,5856467;Labastida/Bastida;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,666348196;42,54322793;Villabuena de Álava/Eskuernaga;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,405146233;42,52427521;Moreda de Álava/Moreda Araba;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,501336064;42,65344375;Bernedo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,587302677;42,96203972;Arratzua-Ubarrundia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,433535077;42,56777283;Oyón-Oion;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,321827955;42,88025949;Asparrena;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,621432566;42,95286437;Arratzua-Ubarrundia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,613341807;42,51427874;Elciego;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,997616449;43,0885842;Ayala/Aiara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,372603548;42,69905458;Campezo/Kanpezu;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,389467475;42,8505626;Agurain/Salvatierra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,032916001;43,15901578;Okondo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,84587665;42,67177923;Zambrana;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,553871177;42,87819299;Elburgo/Burgelu;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,714880167;42,91676333;Zigoitia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,416922375;42,85546951;Agurain/Salvatierra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,740924992;42,97015387;Zigoitia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,676572689;42,53489985;Baños de Ebro/Mañueta;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,574279891;43,03333924;Aramaio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,976174348;42,71311697;Lantarón;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,438386131;42,73433736;Arraia-Maeztu;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,520054705;42,56566429;Lanciego/Lantziego;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,508333055;42,79032162;Arraia-Maeztu;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,537736946;42,76599438;Bernedo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,583788338;42,76636912;Bernedo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,982511808;42,80209219;Añana;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,514086792;42,59995094;Kripan;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,564748031;42,63494351;Lagrán;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,564796971;42,70314304;Bernedo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,2140235;42,87863701;Valdegovía/Gaubea;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,089261764;43,09804963;Ayala/Aiara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,080752329;43,06543998;Ayala/Aiara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,474775025;42,5752099;Yécora/Iekora;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,4844463;42,4942287;Laguardia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,115187573;42,77456905;Lantarón;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,739631216;42,93963246;Zigoitia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,031002172;42,90073366;Valdegovía/Gaubea;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,304666597;42,77603715;Harana/Valle de Arana;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,706604432;42,63827643;Peñacerrada-Urizaharra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,634077332;42,89811789;Arratzua-Ubarrundia;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-2,403375144;42,70114618;Campezo/Kanpezu;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Araba/Álava;-3,128740049;43,06101963;Ayala/Aiara;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,469816569;39,28617956;Casas-Ibáñez;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,443582473;38,69356024;Fuente-Álamo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,425707193;39,18684749;Alcalá del Júcar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,057672927;39,29635977;Villalgordo del Júcar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,495921299;38,6221647;Ontur;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,195086846;39,26640439;Balsa de Ves;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,488009865;38,65135899;Vianos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,332433032;39,26228978;Casas de Ves;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,683170302;39,13913235;Valdeganga;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,717394092;38,91937923;Chinchilla de Monte-Aragón;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,31326438;39,26912423;Minaya;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,453449987;38,8359057;Ballestero, El;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,035725381;38,44974154;Elche de la Sierra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,445267874;38,9596027;Higueruela;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,284683885;38,48540224;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,315090959;38,37137374;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,543466823;38,9552254;Bonillo, El;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,397384941;38,32758451;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,035149574;38,43962543;Elche de la Sierra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,12038116;38,55143098;Ayna;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,238556828;38,96157594;Alpera;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,273165273;38,39698616;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,410717873;38,67749879;Peñascosa;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,3734049;38,68758722;Peñascosa;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,373245924;39,09340973;Alatoz;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,349127009;38,48600337;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,316968153;38,43589353;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,719584513;38,57482187;Tobarra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,089930752;38,76520649;Pozuelo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,318602658;38,59814535;Paterna del Madera;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,577934996;38,61876586;Tobarra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,425654406;38,29867968;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,516200631;39,17093343;Jorquera;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,038912253;38,36232446;Letur;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,302566611;38,2496253;Nerpio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,915716015;39,2649567;Tarazona de la Mancha;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,94101138;39,34171634;Quintanar del Rey;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,808744263;39,24344845;Madrigueras;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,16288746;38,89461502;Balazote;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,467973056;38,47468952;Villaverde de Guadalimar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,763937019;38,9517343;Ossa de Montiel;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,995900949;39,10823029;Gineta, La;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,092650725;38,36055372;Letur;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,991494761;38,33237568;Socovos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,011517357;38,34919145;Férez;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,349214763;38,95698026;Lezuza;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,245283449;38,46384164;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,954561212;38,54534542;Liétor;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,844392312;38,93851435;Ossa de Montiel;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,29790286;38,1462519;Nerpio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,73142229;39,20596786;Mahora;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,038788811;39,13275907;Gineta, La;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,91437479;38,71605526;Pozohondo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,431746326;38,36360682;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,455060111;38,75765663;Robledo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,547967718;38,59411928;Salobre;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,201720404;39,05433136;Barrax;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,690803025;38,78506223;Chinchilla de Monte-Aragón;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,595902403;39,3647257;Villamalea;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,068941074;39,24672039;Fuensanta;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,130818264;38,96372223;Herrera, La;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,587932141;38,97910464;Hoya-Gonzalo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,338379736;38,52653313;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,428053044;38,23491977;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,19448847;38,32195049;Letur;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,571677666;38,77006459;Viveros;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,508580465;39,08060464;Pozo-Lorente;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,524826839;38,42871972;Cotillas;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,536231272;38,57114028;Albatana;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,23961862;38,49463499;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,713542107;39,2794508;Navas de Jorquera;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,464159816;38,83921602;Corral-Rubio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,563572358;39,16331852;Jorquera;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,551771584;38,49010836;Villaverde de Guadalimar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,582900385;39,15587822;Jorquera;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,610003533;39,16123258;Jorquera;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,311323537;38,75514987;Masegoso;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,186051857;38,2354016;Letur;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,259141426;39,2245727;Villa de Ves;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,306722327;39,33364816;Villatoya;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,028022028;38,62128926;Alcadozo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,405561806;38,78290558;Corral-Rubio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,247859341;38,63487663;Bogarra;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,488076134;39,17236492;Recueja, La;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,242140499;38,51660443;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,1670613;38,66803297;Peñascosa;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,600167002;39,36098899;Villamalea;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,498243978;38,61456715;Ontur;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,488028335;38,67136527;Alcaraz;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,032039573;38,3790303;Letur;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,378314644;39,19506352;Alcalá del Júcar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,349702386;38,41171101;Yeste;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,557920644;38,82331753;Pétrola;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,010732267;38,72830985;Peñas de San Pedro;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,550003674;38,95559881;Hoya-Gonzalo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,269482929;38,50445886;Molinicos;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,323178649;38,78884379;Montealegre del Castillo;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,557740992;39,09686563;Casas de Juan Núñez;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,597822815;38,69563054;Povedilla;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,329978283;38,23277864;Nerpio;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,4913795;38,44412527;Villaverde de Guadalimar;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,185600393;38,82013437;San Pedro;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,473018559;39,28929411;Casas-Ibáñez;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,531165801;39,20995813;Abengibre;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,262945317;39,12327329;Carcelén;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-1,241645405;39,26509866;Balsa de Ves;;
TELEFÓNICA MÓVILES ESPAÑA, S.A.;Albacete;-2,292245052;38,41916457;Yeste;;
