PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0036,01_01055_000168,0000000-0100518,Araba/Álava,-3.06714839_ ,42.78725093_ ,1055
TSI-068100-2024-0036,01_01063_000362,0000000-0100516,Araba/Álava,-2.82087924_ ,42.93170177_ ,1063
TSI-068100-2024-0036,01_01046_000087,0000000-0100014,Araba/Álava,-2.91675836_ ,42.78041424_ ,1046
TSI-068100-2024-0036,01_01042_000143,0000000-0100207,Araba/Álava,-3.00864983_ ,43.17754311_ ,1042
TSI-068100-2024-0036,01_01031_000117,0000000-0100212,Araba/Álava,-2.58008647_ ,42.54853689_ ,1031
TSI-068100-2024-0036,01_01056_000090,0000000-0100210,Araba/Álava,-2.36066015_ ,42.74690671_ ,1056
TSI-068100-2024-0036,01_01043_000147,0000000-0100091,Araba/Álava,-2.44475995_ ,42.50548973_ ,1043
TSI-068100-2024-0036,01_01054_000161,0000000-0100007,Araba/Álava,-2.89035072_ ,42.96778305_ ,1054
TSI-068100-2024-0036,01_01031_000112,0000000-0100056,Araba/Álava,-2.58501553_ ,42.55462474_ ,1031
TSI-068100-2024-0036,01_01028_000104,0000000-0100084,Araba/Álava,-2.84547346_ ,42.63746723_ ,1028
TSI-068100-2024-0036,01_01047_000156,0000000-0100053,Araba/Álava,-2.91093573_ ,42.71451670_ ,1047
TSI-068100-2024-0036,01_01020_000101,0000000-0100024,Araba/Álava,-2.89616793_ ,42.92111464_ ,1020
TSI-068100-2024-0036,01_01031_000114,0000000-0100104,Araba/Álava,-2.58476970_ ,42.55311989_ ,1031
TSI-068100-2024-0036,01_01058_000132,0000000-0100059,Araba/Álava,-2.64296806_ ,42.98325383_ ,1058
TSI-068100-2024-0036,01_01046_000088,0000000-0100089,Araba/Álava,-2.90886625_ ,42.81007207_ ,1046
TSI-068100-2024-0022,02_02086_000474,0000000-0200219,Albacete,-2.34983342_ ,38.35999089_ ,2086
TSI-068100-2024-0022,02_02077_000417,0000000-0200795,Albacete,-1.25351240_ ,39.21238776_ ,2077
TSI-068100-2024-0022,02_02070_000518,0000000-0200064,Albacete,-2.56905404_ ,38.58970187_ ,2070
TSI-068100-2024-0022,02_02044_000293,0000000-0200020,Albacete,-1.91672947_ ,38.61329172_ ,2044
